Time,Association Request,Association Response,Reassociation Request,Reassociation Response,Probe Request,Probe Response,Beacon,ATIM,Disassociation,Authentication,Deauthentication,Action,Block Ack Request,Block Ack,PS-Poll,RTS,CTS,ACK,CF-end,CF-end+CF-ack,Data,Data+CF-ack,Data+CF-poll,Data+CF-ack+CF-poll,Null,CF-ack,CF-poll,CF-ack+CF-poll,QoS data,QoS data+CF-ack,QoS data+CF-poll,QoS data+CF-ack+CF-poll,QoS Null,QoS+CF-poll(no data),Qos+CF-ack(no data),Traffic
1500566398000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566417000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566432000,0,0,0,0,16,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566447000,0,0,0,0,6,32,118,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566462000,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566477000,0,0,0,0,10,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566492000,0,0,0,0,13,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566507000,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566522000,0,0,0,0,1,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566537000,0,0,0,0,9,2,67,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566552000,0,0,0,0,13,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566576000,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566591000,0,0,0,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566606000,0,0,0,0,5,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566621000,0,0,0,0,13,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566636000,0,0,0,0,5,29,59,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566657000,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566690000,0,0,0,0,15,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566714000,0,0,0,0,2,37,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566729000,0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566744000,0,0,0,0,19,24,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566759000,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566774000,0,0,0,0,1,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566791000,0,0,0,0,13,9,80,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566809000,0,0,0,0,29,28,45,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566824000,0,0,0,0,14,10,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566839000,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566858000,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566878000,0,0,0,0,24,11,25,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500566897000,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No traffic
1500626388000,0,0,0,0,129,376,632,0,0,0,0,20,2,915,0,1760,2305,3912,0,0,117,0,0,0,267,0,0,0,2,0,0,0,21,0,0,High rate traffic
1500626403000,0,0,0,0,48,230,448,0,0,3,0,17,48,1288,0,1393,2799,3812,1,0,83,0,0,0,177,0,0,0,69,0,0,0,20,0,0,High rate traffic
1500626418000,0,0,0,0,48,139,644,0,0,0,0,20,0,1692,0,649,2664,2490,0,0,60,0,0,0,148,0,0,0,1,0,0,0,22,0,0,High rate traffic
